Antonio Caggiano;Vigna Macchia dei Goti Taurasi 2017;4,3;50 Voti;Italia·Taurasi·Antonio Caggiano·Vino rosso·Aglianico;30,56;[('Leggero-Strutturato', '82.1836%'), ('Morbido-Tannico', '52.0473%'), ('Secco-Dolce', '22.954%'), ('Piatto-Acidulo', '35.1277%')];Manzo / Pasta / Agnello;[('legno', 119), ('Erbaceo', 116), ('bacche nere', 98)]
Isole e Olena;Syrah Toscana Collezione Privata 2017;4,4;63 Voti;Italia·Toscana·Isole e Olena·Vino rosso·Miscela;59,90;[('Leggero-Strutturato', '53.061%'), ('Morbido-Tannico', '44.1576%'), ('Secco-Dolce', '11.2408%'), ('Piatto-Acidulo', '46.6564%')];Manzo / Agnello / Vitello;[('bacche nere', 105), ('legno', 103), ('Erbaceo', 61)]
Campo Alla Sughera;Campo Alla Sughera 2009;4,3;96 Voti;Italia·Toscana·Campo Alla Sughera·Vino rosso·Miscela;53,50;[('Leggero-Strutturato', '55.1716%'), ('Morbido-Tannico', '40.3241%'), ('Secco-Dolce', '15.0812%'), ('Piatto-Acidulo', '44.951%')];Manzo / Agnello / Vitello;[('legno', 29), ('bacche nere', 20), ('frutti rossi', 10)]
La Braccesca;Maggiarino Vino Nobile di Montepulciano 2016;4,4;83 Voti;Italia·Vino Nobile di Montepulciano·La Braccesca·Vino rosso·Sangiovese;51,99;[('Leggero-Strutturato', '56.5451%'), ('Morbido-Tannico', '52.7622%'), ('Secco-Dolce', '0px'), ('Piatto-Acidulo', '62.4844%')];Manzo / Cacciagione (cervo, camoscio) / Pollame;[('bacche nere', 17), ('legno', 10), ('Erbaceo', 3)]
Castello dei Rampolla;d'Alceo 1996;4,4;48 Voti;Italia·Toscana·Castello dei Rampolla·Vino rosso·Cabernet Sauvignon;239,00;[('Leggero-Strutturato', '52.3442%'), ('Morbido-Tannico', '45.1392%'), ('Secco-Dolce', '17.679%'), ('Piatto-Acidulo', '44.9271%')];Manzo / Agnello / Vitello;[('legno', 214), ('bacche nere', 205), ('Erbaceo', 154)]
Rignana;Villa di Rignana Chianti Classico Gran Selezione 2013;4,3;64 Voti;Italia·Chianti Classico·Rignana·Vino rosso·Sangiovese;30,90;[('Leggero-Strutturato', '59.4362%'), ('Morbido-Tannico', '53.6294%'), ('Secco-Dolce', '0.227838%'), ('Piatto-Acidulo', '56.5089%')];Manzo / Vitello / Pollame;[('legno', 7), ('frutti rossi', 6), ('Erbaceo', 3)]
Speri;Vigneto Monte Sant'Urbano Amarone della Valpolicella Classico 2017;4,4;208 Voti;Italia·Amarone della Valpolicella Classico·Speri·Vino rosso·Miscela;43,99;[('Leggero-Strutturato', '82.7784%'), ('Morbido-Tannico', '25.4627%'), ('Secco-Dolce', '46.2074%'), ('Piatto-Acidulo', '25.8564%')];Manzo / Agnello / Cacciagione (cervo, camoscio);[('legno', 671), ('bacche nere', 467), ('Erbaceo', 345)]
Tommasi;Amarone della Valpolicella Classico 2009;4,3;2435 Voti;Italia·Amarone della Valpolicella Classico·Tommasi·Vino rosso·Miscela;84,90;[('Leggero-Strutturato', '85%'), ('Morbido-Tannico', '23.1936%'), ('Secco-Dolce', '48.9382%'), ('Piatto-Acidulo', '23.5873%')];Manzo / Agnello / Cacciagione (cervo, camoscio);[('legno', 3108), ('bacche nere', 1923), ('frutti rossi', 1491)]
Argiano;Brunello di Montalcino 2016;4,4;1202 Voti;Italia·Brunello di Montalcino·Argiano·Vino rosso·Sangiovese;41,80;[('Leggero-Strutturato', '47.9957%'), ('Morbido-Tannico', '55.5321%'), ('Secco-Dolce', '6.78046%'), ('Piatto-Acidulo', '63.6923%')];Manzo / Agnello / Cacciagione (cervo, camoscio);[('legno', 1100), ('Erbaceo', 1025), ('frutti rossi', 847)]
Tresoro;Rosso 2017;4,5;50 Voti;Italia·Toscana·Tresoro·Vino rosso·Miscela;250,00;[('Leggero-Strutturato', '55.2852%'), ('Morbido-Tannico', '48.7667%'), ('Secco-Dolce', '9.55001%'), ('Piatto-Acidulo', '42.5%')];Manzo / Agnello / Vitello;[('bacche nere', 1), ('spezie', 1)]
