company;name;avg_review;num_review;price;food_advice;country;region;wine_type;year;legg_strutt;secco_dolce;piatto_acid;notes
Livio Felluga;Illivio;4.2;47;29.9;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Colli Orientali del Friuli;Miscela;2019;59.7321;29.0735;44.6743;legno/albero da frutta/Erbaceo
Tiefenbrunner;Turmhof Sauvignon Blanc;4.0;32;17.0;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Südtirol - Alto Adige;Sauvignon Blanc;2019;58.2315;17.0747;51.1333;vegetale/agrume/albero da frutta
Elena Walch;Riesling Alto Adige Castel Ringberg;3.9;147;21.9;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Südtirol - Alto Adige;Riesling;2019;57.8174;26.9659;56.6018;agrume/Erbaceo/albero da frutta
Villa Job;Piantagrane;4.1;161;21.0;Frutti di mare / Vegetariano / Funghi;Italia;Friuli;Pinot Gris;2018;48.3525;17.0967;47.4861;agrume/albero da frutta/nota tropicale
Cà Maiol;Molin Lugana;3.9;182;13.8;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Lugana;Verdicchio;2019;58.8656;23.5749;51.0621;albero da frutta/Erbaceo/agrume
Barone di Serramarrocco;Quojane di Serramarrocco;3.9;115;13.3;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Terre Siciliane;Zibibbo;2014;66.6784;11.9019;39.3538;albero da frutta/Erbaceo/agrume
La Staffa;Rincrocca Castelli di Jesi Verdicchio Riserva Classico;3.8;55;23.2;Pasta / Vegetariano / Antipasti e spuntini;Italia;Verdicchio dei Castelli di Jesi Riserva;Verdicchio;2018;49.5964;21.1894;63.5845;agrume/Erbaceo/albero da frutta
Vinosia;Falanghina;3.7;103;7.4;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Campania;Falanghina;2020;64.1764;4.26705;35.2428;agrume/albero da frutta/Erbaceo
Boveri Luigi;Derthona Timorasso Colli Tortonesi;4.1;50;15.4;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Colli Tortonesi;Timorasso;2019;64.8452;14.7677;49.5388;Erbaceo/agrume/albero da frutta
Jermann;Vintage Tunina;4.3;180;45.0;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Venezia Giulia;Sauvignon Blanc;2019;64.6122;27.2301;48.8887;albero da frutta/Erbaceo/agrume
La Costa;Vespaiolo;3.9;26;12.8;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Breganze;Vespaiola;2019;45.1813;15.6355;58.4386;agrume
J. Hofstätter;Michei;3.8;97;19.45;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Vigneti delle Dolomiti;Müller-Thurgau;2018;51.6232;18.5567;44.7281;albero da frutta/agrume/Erbaceo
Bellavista;Alma Terra;4.1;37;16.89;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Franciacorta;Chardonnay;2020;55.2625;19.9917;46.2107;agrume/Erbaceo/albero da frutta
Ca' Lojera;Lugana Superiore;3.9;37;18.19;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Lugana;Verdicchio;2017;62.8314;25.8552;51.5504;albero da frutta/Erbaceo/Invecchiamento
Scarbolo;Mattia {Beyond Pinot};3.9;36;15.5;na / na / na;Italia;Vino d'Italia;Pinot Grigio;2015;;;;Erbaceo/agrume/albero da frutta
Pacherhof;Sylvaner;4.0;91;18.7;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Südtirol - Alto Adige;Sylvaner;2019;57.4373;18.8417;56.9358;albero da frutta/Erbaceo/agrume
S. Cristina;Chardonnay Garda;3.9;116;9.65;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Garda;Chardonnay;2020;56.8294;22.4533;49.9981;albero da frutta/Erbaceo/agrume
La Raia;Gavi;3.8;381;11.8;Pasta / Frutti di mare / Antipasti e spuntini;Italia;Gavi;Cortese;2019;20.0182;0.0;78.8944;agrume/albero da frutta/Erbaceo
Poggio Al Tesoro;Solosole Vermentino;4.0;936;17.8;Pasta / Vegetariano / Antipasti e spuntini;Italia;Bolgheri;Vermentino;2019;45.5901;21.0779;66.5161;albero da frutta/agrume/Erbaceo
Les Crêtes;Fleur Petite Arvine;4.0;105;23.7;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Valle d'Aosta;Petite Arvine;2018;61.7956;12.4983;59.8377;Erbaceo/albero da frutta/agrume
Abbazia di Novacella (Stiftskellerei Neustift);Gewürztraminer;4.0;179;12.99;Maiale / Pesce grasso (salmone, tonno, ecc.) / Cibi speziati;Italia;Südtirol - Alto Adige;Gewürztraminer;2020;61.9594;33.3058;30.9926;Erbaceo/nota tropicale/albero da frutta
Terlan (Terlano);Tradition Müller Thurgau;3.8;56;11.08;Frutti di mare / Cibi speziati / Vegetariano;Italia;Südtirol - Alto Adige;Müller-Thurgau;2020;29.2025;17.1698;35.3705;albero da frutta/agrume/nota tropicale
Villa Dora;Vigna del Vulcano Lacryma Christi del Vesuvio Bianco;3.8;82;17.9;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Vesuvio;Miscela;2016;70.332;5.55437;39.6186;albero da frutta/Erbaceo/legno
Tasca d'Almerita;Nozze d'Oro;4.3;30;23.2;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Sicilia;Miscela;2019;55.1446;15.806;40.5615;Erbaceo/albero da frutta/agrume
Valle dell'Acate;Bidis Terre Siciliane;4.1;50;13.9;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Terre Siciliane;Chardonnay;2016;67.0262;21.511;29.4951;legno/Erbaceo/albero da frutta
Terlan (Terlano);Tradition Gewürztraminer;3.8;29;13.7;na / na / na;Italia;Südtirol - Alto Adige;Gewürztraminer;2021;;;;
Bera Vittorio e Figli;Arcese Bianco;4.1;67;15.89;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Piemonte;Cortese;2019;64.7968;1.36337;34.7013;albero da frutta/agrume/Erbaceo
Ceraudo;Petelia;3.8;40;13.4;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Val di Neto;Miscela;2019;67.5465;2.1732;29.7734;nota tropicale/albero da frutta/legno
Vie di Romans;Dis Cumieris Malvasia Istriana;3.9;25;23.38;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Friuli Isonzo;Malvasia;2019;56.6403;22.212;49.9472;albero da frutta/Erbaceo/agrume
La Colombera - Piercarlo Semino;Il Montino;4.0;54;28.6;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Colli Tortonesi;Timorasso;2018;65.7412;20.4703;52.7857;Erbaceo/albero da frutta/agrume
Scacciadiavoli;Montefalco Bianco;3.9;66;12.7;Pasta / Vegetariano / Antipasti e spuntini;Italia;Montefalco;Miscela;2018;46.0656;19.535;67.625;albero da frutta/legno/agrume
Taschlerhof;Lahner Sylvaner;4.0;37;20.9;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Südtirol - Alto Adige;Sylvaner;2016;58.0579;28.912;49.0386;nota tropicale/Erbaceo
Alois Lageder;Löwengang Chardonnay;4.3;419;76.0;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Südtirol - Alto Adige;Chardonnay;2012;62.271;24.766;45.908;legno/albero da frutta/Erbaceo
San Silvestro;Fossili Gavi del Comune di Gavi;4.0;228;9.89;Pasta / Frutti di mare / Antipasti e spuntini;Italia;Gavi;Cortese;2020;20.1703;0.32274;74.5483;agrume/albero da frutta/Erbaceo
Roagna;Langhe Bianco;3.9;85;30.16;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Langhe;Chardonnay;2018;59.4798;19.7088;48.0531;legno/Erbaceo/albero da frutta
Firriato;Santagostino Baglio Sorìa White;3.7;84;12.55;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Terre Siciliane;Chardonnay;2020;59.7351;7.67368;34.4858;albero da frutta/agrume/legno
Baglio di Pianetto;Timeo Grillo;3.9;31;11.4;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Terre Siciliane;Grillo;2020;57.0395;6.76156;42.1147;agrume/albero da frutta/Erbaceo
La Tunella;Sauvignon;4.2;342;13.25;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Colli Orientali del Friuli;Sauvignon Blanc;2020;59.108;25.4159;50.61;albero da frutta/agrume/nota tropicale
Lis Neris;Venezia Giulia Confini;4.3;175;34.9;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Venezia Giulia;Miscela;2016;67.1851;27.8912;51.1607;nota tropicale/albero da frutta/Erbaceo
Fondo San Giuseppe;Fiorile;3.9;34;19.9;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Emilia-Romagna;Albana;2020;67.5471;21.7777;46.7689;Erbaceo/albero da frutta/agrume
Planeta;Alastro;3.8;874;10.9;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Menfi;Miscela;2019;59.2935;6.02533;37.1425;albero da frutta/agrume/Erbaceo
Kellerei Eisacktal - Cantina Valle Isarco;Sylvaner;3.8;247;18.3;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Südtirol - Alto Adige;Sylvaner;2020;52.5415;18.8072;54.072;albero da frutta/Erbaceo/agrume
Kellerei Eisacktal - Cantina Valle Isarco;Sabiona Sylvaner;4.3;31;33.83;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Südtirol - Alto Adige;Sylvaner;2018;52.3972;17.2508;50.6787;albero da frutta/agrume/Erbaceo
Emidio Pepe;Trebbiano d'Abruzzo;4.2;96;170.0;Pasta / Vegetariano / Antipasti e spuntini;Italia;Trebbiano d'Abruzzo;Trebbiano;2007;49.6489;25.5552;65.5468;Erbaceo/albero da frutta/agrume
Pemo;Pecorino;3.8;94;8.8;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Terre di Chieti;Pecorino;2020;62.8964;0.321133;35.971;agrume/albero da frutta/nota tropicale
Lvnae;Numero Chiuso Vermentino;4.3;56;36.0;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Colli di Luni;Vermentino;2017;67.9945;27.7751;51.1064;Erbaceo/albero da frutta/agrume
Marco Gatti;Casale Venza Verdicchio di Matelica;3.9;31;7.0;Pasta / Vegetariano / Antipasti e spuntini;Italia;Verdicchio di Matelica;Verdicchio;2018;52.9062;21.7202;65.4896;Erbaceo/agrume/albero da frutta
Emidio Pepe;Pecorino Colli Aprutini;4.4;29;64.0;Pasta / Vegetariano / Antipasti e spuntini;Italia;Colli Aprutini;Pecorino;2019;48.7848;27.9039;64.972;Erbaceo/albero da frutta/agrume
Cantina Bolzano / Kellerei Bozen;Greel Sauvignon Blanc Riserva;4.1;38;25.8;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Südtirol - Alto Adige;Sauvignon Blanc;2018;61.1024;24.7367;50.9922;agrume/vegetale
Casale del Giglio;Antinoo Lazio Bianco;3.7;123;14.2;Pasta / Vegetariano / Antipasti e spuntini;Italia;Lazio;Miscela;2017;49.1185;23.1054;65.4688;legno/Erbaceo/agrume
Sorrentino;Benita 31 Caprettone;4.0;31;11.4;na / na / na;Italia;Campania;;2020;;;;
Tani;Taerra Vermentino di Gallura Superiore;3.9;71;19.45;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Vermentino di Gallura;Vermentino;2020;63.3213;9.34526;39.4039;albero da frutta/agrume/Erbaceo
Scala;Cirò Bianco;3.7;102;10.9;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Cirò;Greco Bianco;2019;56.5477;0.0;38.4785;albero da frutta/agrume/Erbaceo
Castello di Neive;Langhe Arneis Montebertotto;3.9;46;14.9;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Langhe;Arneis;2020;62.7815;17.8465;52.6237;agrume/albero da frutta/Erbaceo
Vigneti Massa;Derthona Montecitorio;4.0;121;47.5;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Piemonte;Timorasso;2016;65.1374;21.9705;52.1023;Erbaceo/albero da frutta/agrume
Feudi di San Gregorio;Fiano Di Avellino Pietracalda;3.8;321;17.5;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Fiano de Avellino;Fiano;2014;60.1488;3.10388;42.6204;agrume/albero da frutta/Erbaceo
Damijan Podversic;Nekaj;4.3;37;43.2;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Venezia Giulia;Friulano;2017;71.3446;28.3642;47.3257;agrume/Erbaceo/albero da frutta
Terlan (Terlano);Riserva Nova Domus Terlaner;4.2;387;124.0;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Südtirol - Alto Adige;Chardonnay;2014;65.4024;25.697;48.5208;albero da frutta/Erbaceo/legno
Feudi di San Gregorio;Fiano Di Avellino Pietracalda;3.9;803;17.0;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Fiano de Avellino;Fiano;2018;60.1488;3.10388;42.6204;agrume/albero da frutta/Erbaceo
Terlan (Terlano);Gewürztraminer Lunare;4.3;258;60.0;Maiale / Pesce grasso (salmone, tonno, ecc.) / Cibi speziati;Italia;Südtirol - Alto Adige;Gewürztraminer;2015;65.1104;41.7373;27.7935;nota tropicale/Erbaceo/agrume
Chiesa del Carmine;Trebbiano Spoletino;4.0;73;18.0;Pasta / Vegetariano / Antipasti e spuntini;Italia;Umbria;Trebbiano;2018;48.1911;13.1304;61.4304;albero da frutta/agrume/Erbaceo
Alessandro di Camporeale;Grillo Vigna di Mandranova;3.9;87;12.5;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Terre Siciliane;Grillo;2020;59.8562;5.96997;44.6808;agrume/albero da frutta/Erbaceo
Gulfi;Carjcanti Bianco;4.1;86;18.0;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Terre Siciliane;Carricante;2018;63.1687;5.39962;37.5198;Erbaceo/albero da frutta/agrume
Feudi di San Gregorio;Campanaro;4.0;196;24.5;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Irpinia;Fiano;2018;57.78;11.3465;42.5316;agrume/Erbaceo/albero da frutta
Cortese;Vanedda Bianco;3.9;66;15.5;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Terre Siciliane;Grillo;2018;67.2049;16.9055;34.6146;nota tropicale/albero da frutta/legno
Köfererhof;Sylvaner;3.9;41;21.4;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Südtirol - Alto Adige;Sylvaner;2011;59.8845;24.3901;53.0376;albero da frutta/agrume/Erbaceo
Lis Neris;Venezia Giulia Lis;4.2;32;33.4;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Venezia Giulia;Miscela;2017;66.357;27.6223;55.4288;albero da frutta/legno/Erbaceo
Antonio Canestrari;Verdicchio dei Castelli di Jesi Classico Superiore;3.9;32;27.99;Pasta / Vegetariano / Antipasti e spuntini;Italia;Verdicchio dei Castelli di Jesi;Verdicchio;2016;48.6444;20.15;60.9333;albero da frutta/agrume/nota tropicale
Lis Neris;Venezia Giulia Jurosa (Chardonnay);4.0;234;21.6;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Venezia Giulia;Chardonnay;2017;67.0281;23.9837;48.2474;legno/Erbaceo/albero da frutta
Querciabella;Toscana Batar;4.4;339;110.0;Pasta / Vegetariano / Antipasti e spuntini;Italia;Toscana;Miscela;2011;50.3027;29.4964;63.1535;legno/albero da frutta/Erbaceo
Prà;Monte Grande Soave Classico;3.8;28;22.0;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Soave Classico;Miscela;2019;35.0434;3.5725;58.2618;albero da frutta/Erbaceo/agrume
Gravner;Breg Anfora Bianco;4.3;422;177.0;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Venezia Giulia;Miscela;2008;68.6017;22.9642;52.1882;agrume/Erbaceo/legno
La Tunella;Pinot Grigio;3.9;191;13.5;Frutti di mare / Vegetariano / Funghi;Italia;Colli Orientali del Friuli;Pinot Grigio;2019;41.1481;12.111;41.9916;agrume/albero da frutta/Erbaceo
La Bollina;Gavi;3.8;33;9.5;Pasta / Frutti di mare / Antipasti e spuntini;Italia;Gavi;Cortese;2020;20.8905;0.028355;76.0495;albero da frutta/agrume/Erbaceo
Jankara;Vermentino di Gallura Superiore;4.1;120;16.2;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Vermentino di Gallura;Vermentino;2020;62.9995;0.764485;37.403;albero da frutta/agrume/Erbaceo
Cantina Altarocca;Arcosesto Orvieto Classico;3.8;28;10.3;Pasta / Vegetariano / Antipasti e spuntini;Italia;Orvieto Classico;Miscela;2018;40.087;17.587;65.0177;Erbaceo/albero da frutta/agrume
Santadi;Villa Di Chiesa Valli di Porto Pino;4.2;81;19.6;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Valli di Porto Pino;Miscela;2018;65.5244;10.3013;32.0178;legno/lieviti/albero da frutta
Schiopetto;Collio Sauvignon;3.9;88;17.0;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Collio;Sauvignon Blanc;2019;62.6599;25.479;51.1245;agrume/albero da frutta/vegetale
Andrea Felici;Verdicchio dei Castelli di Jesi Classico Superiore;3.8;617;15.1;Pasta / Vegetariano / Antipasti e spuntini;Italia;Verdicchio dei Castelli di Jesi;Verdicchio;2018;43.5251;19.7226;66.0919;agrume/albero da frutta/Erbaceo
Abbazia di Novacella (Stiftskellerei Neustift);Sylvaner;3.8;163;11.69;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Südtirol - Alto Adige;Sylvaner;2020;60.6454;26.3731;54.6861;agrume/albero da frutta/Erbaceo
Perticaia;Trebbiano Spoletino;3.8;49;12.6;Pasta / Vegetariano / Antipasti e spuntini;Italia;Spoleto;Trebbiano;2020;46.3478;23.9176;64.75;agrume/albero da frutta/legno
Cavallotto;Pinner Bianco Ottenuto Da Uva Nera;3.9;132;31.0;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Piemonte;Pinot Noir;2019;61.7567;19.5973;55.2533;albero da frutta/agrume/Erbaceo
Leone de Castris;Messapia Verdeca Salento;3.7;109;8.4;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Salento;Verdeca;2019;54.3372;0.675023;44.2097;agrume/albero da frutta/spezie
Weingut Tenuta Schweitzer;Tschaupp Chardonnay;4.1;83;31.0;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Südtirol - Alto Adige;Chardonnay;2013;56.9459;20.3216;53.6024;Floreale/Erbaceo/agrume
Aldo Conterno;Bussiador;4.4;149;85.0;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Langhe;Chardonnay;2017;64.1019;26.9251;44.1759;legno/Erbaceo/albero da frutta
Kornell;Aichberg Weiss;4.0;57;29.4;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Südtirol - Alto Adige;Miscela;2017;52.7536;19.5056;49.4105;legno/albero da frutta/spezie
Tramin;Unterebner Pinot Grigio;4.0;137;23.39;Frutti di mare / Vegetariano / Funghi;Italia;Südtirol - Alto Adige;Pinot Grigio;2019;43.6275;15.2722;41.6293;albero da frutta/Erbaceo/legno
Quintodecimo;Via del Campo Falanghina;4.3;103;31.9;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Irpinia;Falanghina;2019;65.2887;8.93822;42.998;albero da frutta/Erbaceo/agrume
Macchion dei Lupi;Odyssea Ansonica;3.8;40;16.9;na / na / na;Italia;Costa Toscana;Ansonica;2020;;;;agrume/Erbaceo/albero da frutta
Terlan (Terlano);Quarz Sauvignon;4.5;522;89.0;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Trentino-Alto Adige;Sauvignon Blanc;2019;62.7579;24.0169;50.8019;Erbaceo/nota tropicale/agrume
Attems;Sauvignon Blanc;3.9;225;14.85;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Friuli-Venezia Giulia;Sauvignon Blanc;2019;60.8247;21.383;53.0346;agrume/albero da frutta/vegetale
Vinosia;Sintonia Greco - Fiano;3.8;103;12.5;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Campania;Miscela;2019;64.586;20.6354;39.51;albero da frutta/Erbaceo/nota tropicale
Tenuta di Fessina;A'Puddara Etna Bianco;4.1;136;43.0;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Etna;Carricante;2018;62.2744;3.38134;41.0055;Erbaceo/agrume/albero da frutta
Tramin;Selida Gewürztraminer;4.0;65;12.7;Maiale / Pesce grasso (salmone, tonno, ecc.) / Cibi speziati;Italia;Südtirol - Alto Adige;Gewürztraminer;2021;65.433;39.8749;31.5135;nota tropicale/albero da frutta/Erbaceo
Pratello;Riesling;3.8;33;13.0;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Lombardia;Riesling;2019;59.2414;20.0398;52.2694;Erbaceo/agrume/albero da frutta
Azienda Agricola Campogrande;Cinqueterre;3.8;41;46.0;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Cinque Terre;Miscela;2010;65.5394;28.1386;43.8172;agrume/Erbaceo/albero da frutta
Mauro Sebaste;Roero Arneis;3.8;62;13.4;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Roero;Arneis;2019;64.0177;20.2039;55.2612;agrume/Erbaceo/albero da frutta
Jermann;Where Dreams have no end (W... Dreams...);4.3;154;42.9;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Venezia Giulia;Chardonnay;2019;64.3928;27.2079;46.6516;legno/albero da frutta/agrume
Tramin;Pinot Bianco - Weissburgunder;3.8;51;10.5;Pesce grasso (salmone, tonno, ecc.) / Frutti di mare / Formaggio dolce e a pasta molle;Italia;Südtirol - Alto Adige;Weissburgunder;2020;43.0124;5.06043;52.2591;albero da frutta/agrume/Erbaceo
Barone di Villagrande;Contrada Villagrande Etna Bianco;4.0;37;40.85;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Etna;Carricante;2018;60.6079;4.23053;41.3437;albero da frutta/Erbaceo/legno
Poderi dal Nespoli;Famoso;3.8;360;9.8;Pasta / Vegetariano / Antipasti e spuntini;Italia;Rubicone;Famoso;2020;40.4879;21.4736;61.4325;albero da frutta/agrume/Erbaceo
Conterno Fantino;Chardonnay Langhe Bastia;4.1;187;26.9;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Langhe;Chardonnay;2018;61.8396;22.8469;49.8149;legno/agrume/Erbaceo
Venica & Venica;L'Adelchi Ribolla Gialla;3.8;95;21.9;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Collio;Ribolla Gialla;2020;51.4265;18.9285;53.9056;albero da frutta/agrume/Erbaceo
Colterenzio (Schreckbichl);Altkirch Chardonnay;3.7;207;8.74;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Südtirol - Alto Adige;Chardonnay;2019;55.4396;21.8259;51.8995;albero da frutta/agrume/legno
Ca'Liptra;Kypra Verdicchio dei Castelli di Jesi Classico Superiore;3.7;99;14.9;Pasta / Vegetariano / Antipasti e spuntini;Italia;Verdicchio dei Castelli di Jesi;Verdicchio;2018;45.9576;17.6478;67.2099;Erbaceo/albero da frutta/agrume
Antonelli San Marco;Grechetto Montefalco;3.8;32;8.1;Pasta / Vegetariano / Antipasti e spuntini;Italia;Montefalco;Grechetto;2021;45.3455;17.9808;65.2677;albero da frutta/agrume/Erbaceo
L'Archetipo;Fiano;3.8;167;14.42;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Salento;Fiano;2018;62.0821;10.0675;40.4896;agrume/albero da frutta/Erbaceo
Antinori;Castello della Sala San Giovanni della Sala Classico Superiore;4.1;34;14.89;Pasta / Vegetariano / Antipasti e spuntini;Italia;Orvieto;Miscela;2021;42.153;24.9434;64.1088;albero da frutta/agrume/Erbaceo
Kellerei Eisacktal - Cantina Valle Isarco;Aristos Sylvaner;3.9;71;15.7;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Südtirol - Alto Adige;Sylvaner;2019;61.1466;16.9753;61.0126;albero da frutta/agrume/Erbaceo
Andrian;Pinot Grigio;3.7;112;11.61;Frutti di mare / Vegetariano / Funghi;Italia;Südtirol - Alto Adige;Pinot Grigio;2014;41.1935;13.9888;40.6378;albero da frutta/agrume/Erbaceo
Livio Felluga;Terre Alte;4.6;101;66.5;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Rosazzo;Friulano;2019;64.0969;28.7062;49.1429;legno/albero da frutta/nota tropicale
Livio Felluga;Sharis;4.0;989;12.19;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;delle Venezie;Miscela;2020;54.55;22.0567;52.5941;albero da frutta/agrume/Erbaceo
Terlan (Terlano);Pinot Bianco Riserva Vorberg;4.3;194;24.8;Pesce grasso (salmone, tonno, ecc.) / Frutti di mare / Formaggio dolce e a pasta molle;Italia;Südtirol - Alto Adige;Weissburgunder;2019;45.6911;10.3121;57.2392;albero da frutta/Erbaceo/agrume
Lis Neris;Sauvignon Blanc;3.9;32;15.1;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Venezia Giulia;Sauvignon Blanc;2020;60.0866;18.2702;52.7338;agrume/albero da frutta/nota tropicale
Lvnae;Fior di Luna;3.8;67;10.9;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Colli di Luni;Miscela;2019;50.7041;27.6404;53.865;albero da frutta/agrume/Erbaceo
Schiopetto;Blanc des Rosis;4.0;25;13.42;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Venezia Giulia;Pinot Grigio;2019;57.3366;27.0552;52.9074;albero da frutta/Erbaceo/vegetale
Alois Lageder;Gewürztraminer;3.7;123;13.4;Maiale / Pesce grasso (salmone, tonno, ecc.) / Cibi speziati;Italia;Südtirol - Alto Adige;Gewürztraminer;2020;62.1445;34.7499;29.824;nota tropicale/albero da frutta/Erbaceo
La Raia;Pisé Gavi;4.0;44;23.6;Pasta / Frutti di mare / Antipasti e spuntini;Italia;Gavi;Cortese;2017;26.1215;3.35139;79.5155;albero da frutta/Erbaceo/agrume
Ciro Picariello;Fiano di Avellino;4.0;91;15.39;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Fiano de Avellino;Fiano;2020;62.7739;5.21127;39.9491;Erbaceo/agrume/albero da frutta
Benanti;Etna Bianco;3.7;154;17.1;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Etna;Carricante;2020;56.2436;1.42259;43.6739;Erbaceo/agrume/albero da frutta
Mirafiore;Langhe Nascetta;3.8;41;16.5;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Langhe;Nascetta;2020;46.359;17.5;29.8568;Erbaceo
Venica & Venica;Jesera Pinot Grigio;4.1;120;23.0;Frutti di mare / Vegetariano / Funghi;Italia;Collio;Pinot Grigio;2019;46.1677;13.8514;38.1756;albero da frutta/Erbaceo/agrume
Fonzone;Fiano di Avellino;3.8;41;12.9;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Fiano de Avellino;Fiano;2019;60.9928;4.88273;33.1283;albero da frutta/Erbaceo/agrume
Cantina Bolzano / Kellerei Bozen;Puntscheit Kerner;3.9;86;14.4;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Südtirol - Alto Adige;Kerner;2020;59.2712;27.839;55.2458;nota tropicale/albero da frutta/legno
