company;name;avg_review;num_review;price;food_advice;country;region;wine_type;year;legg_strutt;secco_dolce;piatto_acid;notes
Marco de Bartoli;Integer Grillo;3.9;71;22.95;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Sicilia;Grillo;2019;64.9303;11.6239;38.7989;agrume/Erbaceo/albero da frutta
Livio Felluga;Illivio;4.2;263;28.0;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Colli Orientali del Friuli;Miscela;2018;59.7321;29.0735;44.6743;legno/albero da frutta/Erbaceo
Schiopetto;Collio Friulano;3.8;353;17.0;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Collio;Friulano;2018;60.6646;20.8459;50.6834;albero da frutta/Erbaceo/agrume
Kante;Malvasia;4.0;26;18.9;Pasta / Frutti di mare / Formaggio a pasta dura e stagionato;Italia;Carso;Malvasia;2019;59.2333;20.6054;49.93;Erbaceo/albero da frutta/agrume
Maria Pia Castelli;Stella Flora;4.2;67;44.9;Pasta / Vegetariano / Antipasti e spuntini;Italia;Marche;Miscela;2015;54.4514;23.7494;58.7877;agrume/Erbaceo/legno
Melini;Le Grillaie Vernaccia di San Gimignano;3.7;134;10.55;Pasta / Vegetariano / Antipasti e spuntini;Italia;Vernaccia di San Gimignano;Vernaccia di San Gimignano;2019;39.2147;27.6127;66.1611;albero da frutta/agrume/Erbaceo
Ca' Bolani;Pinot Grigio;3.8;62;10.8;Frutti di mare / Vegetariano / Funghi;Italia;Friuli Aquileia;Pinot Grigio;2020;42.0904;12.3389;39.1918;albero da frutta/agrume/Erbaceo
Collavini;Villa Canlungo Black Label Pinot Grigio;3.7;141;11.9;Frutti di mare / Vegetariano / Funghi;Italia;Rosazzo;Pinot Gris;2020;39.5512;12.2537;39.8654;albero da frutta/agrume/Erbaceo
H. Lun;Müller Thurgau '1840';3.9;25;9.7;Frutti di mare / Cibi speziati / Vegetariano;Italia;Südtirol - Alto Adige;Müller-Thurgau;2020;37.1126;19.1419;33.714;albero da frutta/Erbaceo/agrume
Baglio di Pianetto;Ficiligno Viognier - Inzolia;3.8;75;11.1;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Terre Siciliane;Viognier;2019;62.7974;2.21545;40.1071;albero da frutta/nota tropicale/Erbaceo
Lo Triolet;Pinot Gris;3.9;63;31.7;Frutti di mare / Vegetariano / Funghi;Italia;Valle d'Aosta;Pinot Grigio;2017;48.1792;16.0765;42.6918;albero da frutta/agrume/Erbaceo
San Marzano;Talò Fiano;4.0;126;9.7;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Salento;Fiano;2020;54.7282;14.7673;37.9015;albero da frutta/nota tropicale/Erbaceo
Umani Ronchi;Plenio Verdicchio dei Castelli di Jesi Classico Riserva;3.9;29;18.9;Pasta / Vegetariano / Antipasti e spuntini;Italia;Verdicchio dei Castelli di Jesi;Verdicchio;2019;51.6383;27.898;61.7069;albero da frutta/legno/Erbaceo
Feudi di San Gregorio;Campanaro;4.1;47;24.5;Frutti di mare / Vegetariano / Antipasti e spuntini;Italia;Irpinia;Miscela;2019;57.78;11.3465;42.5316;agrume/Erbaceo/albero da frutta
