idname,price,wine_type,legg_strutt,secco_dolce,piatto_acid,notes,Clusters
Roero Arneis - 2019.0 - Giacosa Fratelli,9.9,Arneis,60.2681,25.0587,47.0688,albero da frutta/agrume/Erbaceo,12
Zibibbo in Pithos - 2020.0 - COS,24.9,Muscat Blanc,61.8538,13.5671,28.1737,agrume/Erbaceo/albero da frutta,13
Bolgheri Costa di Giulia - 2018.0 - Michele Satta,16.8,Vermentino,43.5616,20.0716,59.5477,albero da frutta/Erbaceo/agrume,2
Langhe Chardonnay - 2019.0 - Tenuta Cucco,17.4,Chardonnay,68.7833,31.172,35.3641,albero da frutta/legno/Erbaceo,9
Vulcanico Falanghina - 2020.0 - Paternoster,12.1,Falanghina,56.9637,2.6213,37.625,albero da frutta/agrume/Erbaceo,13
Il Preliminare - 2019.0 - Cantine del Notaio,10.9,Miscela,61.7937,9.53037,37.9719,nota tropicale/agrume/albero da frutta,11
Trebbien - 2019.0 - Valter Mattoni,30.0,Trebbiano,61.0731,16.1954,63.5958,agrume/albero da frutta/frutti rossi,19
Riesling - 2019.0 - Falkenstein,18.4,Riesling,60.4639,22.7214,56.1568,agrume/albero da frutta/Erbaceo,12
Greco di Tufo - 2019.0 - Donnachiara,10.5,Greco,62.3264,0.0,35.7933,albero da frutta/agrume/Erbaceo,16
Fiano di Avellino Classico - 2019.0 - Cantine di Marzo,12.9,Fiano,60.3685,18.9714,42.2083,agrume/albero da frutta/lieviti,16
Trebbiano d'Abruzzo - 2019.0 - Jasci & Marchesani,9.0,Trebbiano D'Abruzzo,65.7296,1.58463,32.8327,Erbaceo/albero da frutta/lieviti,21
Felciaio - 2020.0 - Badia di Morrona,8.21,Vermentino,49.3034,17.2131,68.4106,agrume/albero da frutta/legno,4
Le Coccinelle Langhe Bianco - 2017.0 - Brandini,32.56,Arneis,59.3353,20.3913,52.3458,albero da frutta/agrume/Erbaceo,12
Lafóa Sauvignon - 2020.0 - Colterenzio (Schreckbichl),23.76,Sauvignon Blanc,64.3272,23.2412,52.3842,agrume/albero da frutta/vegetale,1
Trebbiano d'Abruzzo - 2015.0 - Emidio Pepe,108.0,Trebbiano,49.6489,25.5552,65.5468,Erbaceo/albero da frutta/agrume,19
Friulano - 2019.0 - La Tunella,14.0,Friulano,59.8504,21.7548,44.6739,albero da frutta/Erbaceo/Invecchiamento,21
Nerina Etna Bianco - 2019.0 - Girolamo Russo,29.9,Miscela,61.7953,10.0216,36.9629,Erbaceo/agrume/albero da frutta,7
Fiano - Greco - 2020.0 - A Mano,10.5,Miscela,62.6026,13.4307,35.7182,albero da frutta/agrume/Erbaceo,7
Télos Il Bianco Garganega - Chardonnay - 2020.0 - Tenuta Sant'Antonio,13.2,Miscela,64.5778,23.1927,50.0223,albero da frutta/nota tropicale/agrume,11
003 Pecorino - 2019.0 - Castrum Morisci,12.4,Pecorino,45.9176,10.8574,67.6427,agrume/Erbaceo,12
Vigneto del Balluccio Verdicchio dei Castelli di Jesi Classico Superiore - 2020.0 - Tenuta dell'Ugolino,16.9,Verdicchio,49.603,17.6695,65.3925,agrume/legno/albero da frutta,4
Greco di Tufo - 2020.0 - Villa Raiano,11.2,Greco,63.4067,10.228,37.7203,albero da frutta/Erbaceo/agrume,16
Riserva Vernaccia di San Gimignano - 2018.0 - La Lastra,18.9,Vernaccia,42.1632,24.4761,63.836,agrume/albero da frutta/Erbaceo,12
Muntà l’è Ruma Derthona - 2017.0 - Vigneti Boveri Giacomo,19.45,Timorasso,63.9781,17.4508,48.048,albero da frutta/agrume/Erbaceo,20
Tra Donne Sole Piemonte - 2020.0 - Vite Colte,9.9,Miscela,60.5593,28.1011,50.4007,agrume/vegetale/albero da frutta,1
Pinot Bianco Riserva Vorberg - 2009.0 - Terlan (Terlano),143.0,Weissburgunder,45.6911,10.3121,57.2392,albero da frutta/Erbaceo/agrume,0
Sylvaner - 2018.0 - Garlider,19.7,Sylvaner,60.8068,19.4739,48.884,Erbaceo/albero da frutta/agrume,20
Mofete Etna Bianco - 2019.0 - Palmento Costanzo,15.5,Carricante,59.4499,6.066,43.6391,agrume/Erbaceo/albero da frutta,15
Bine Longhe di Costalta - 2018.0 - Tessari,30.9,Garganega,35.833,3.61345,57.8824,albero da frutta/Erbaceo/agrume,17
Pinot Grigio - 2020.0 - Colterenzio (Schreckbichl),8.6,Pinot Grigio,41.0993,12.2443,44.3724,albero da frutta/agrume/Erbaceo,8
Sodevo Ribolla Gialla - 2019.0 - Zuani,15.0,Ribolla Gialla,57.651,22.0746,53.7649,albero da frutta/agrume/Erbaceo,12
Masso Vivo Vermentino - 2019.0 - Tenuta Ammiraglia,9.9,Vermentino,37.2677,17.0586,63.0003,albero da frutta/agrume/Erbaceo,2
Greco di Tufo - 2017.0 - Vesevo,9.89,Greco,61.3218,4.62964,33.1974,albero da frutta/agrume/Erbaceo,16
Riva Arsiglia - 2016.0 - Menti Giovanni,18.9,Garganega,61.1314,23.0344,50.2521,Erbaceo/albero da frutta/agrume,17
Aristos Sauvignon - 2018.0 - Kellerei Eisacktal - Cantina Valle Isarco,15.7,Sauvignon Blanc,60.2013,10.9973,64.5027,vegetale/nota tropicale/agrume,1
Grillo - 2020.0 - Tenute Orestiadi,8.18,Grillo,61.3171,3.539,46.1617,agrume/Erbaceo/vegetale,13
Collezione di Famiglia Zibibbo - 2020.0 - Barone Montalto,10.8,Zibibbo,60.155,11.4048,36.6101,albero da frutta/nota tropicale/agrume,11
Praepositus Gewürztraminer - 2020.0 - Abbazia di Novacella (Stiftskellerei Neustift),17.99,Gewürztraminer,66.6684,43.9334,31.2463,nota tropicale/albero da frutta/agrume,11
Campanaro - 2012.0 - Feudi di San Gregorio,24.5,Miscela,57.78,11.3465,42.5316,agrume/Erbaceo/albero da frutta,7
Carricante - 2019.0 - Calabretta,22.47,Carricante,57.0,5.54229,43.8291,Erbaceo/agrume/albero da frutta,15
Kolbenhof Gewürztraminer - 2019.0 - J. Hofstätter,27.4,Gewürztraminer,66.4466,38.8241,29.2928,nota tropicale/albero da frutta/Erbaceo,5
Turmhof Chardonnay - 2019.0 - Tiefenbrunner,14.8,Chardonnay,56.9492,20.9896,53.4151,legno/albero da frutta/Invecchiamento,9
Limited Edition 10 Vendemmie Bianco - nan - Tenuta Ulisse,25.79,Miscela,42.5,29.2857,64.4357,nota tropicale/Erbaceo/albero da frutta,5
Riserva Nova Domus Terlaner - 2017.0 - Terlan (Terlano),41.0,Miscela,65.4024,25.697,48.5208,albero da frutta/Erbaceo/legno,22
La Rocca Soave Classico - 2019.0 - Pieropan,26.0,Garganega,34.8595,8.03137,57.3264,albero da frutta/Erbaceo/agrume,17
Infatata Malvasia Secca - 2020.0 - Caravaglio,21.0,Malvasia,58.5962,8.02104,40.537,agrume/albero da frutta/Erbaceo,20
Anas-Cëtta Langhe Nascetta di Novello - 2020.0 - Elvio Cogno,20.5,Nascetta,62.0675,21.7711,53.3223,Erbaceo/agrume/albero da frutta,12
Giallo d'Arles Greco di Tufo - 2020.0 - Quintodecimo,31.99,Greco,65.9504,9.74261,39.5769,albero da frutta/Erbaceo/agrume,16
Campo del Guardiano - 2017.0 - Palazzone,24.0,Miscela,49.1573,18.5274,63.0849,albero da frutta/agrume/Erbaceo,7
Il Preliminare - 2020.0 - Cantine del Notaio,12.4,Miscela,61.7937,9.53037,37.9719,nota tropicale/agrume/albero da frutta,11
Ronco Bernizza Chardonnay - 2018.0 - Venica & Venica,20.0,Chardonnay,61.6949,28.1759,47.3151,legno/vegetale/nota tropicale,6
Allemanda - 2018.0 - Planeta,10.0,Moscato Bianco,57.7272,9.21329,35.3998,albero da frutta/Floreale/agrume,11
Nosiola Fontanasanta - 2020.0 - Foradori,33.9,Nosiola,54.286,18.5901,51.2362,Erbaceo/agrume/albero da frutta,12
Gris - 2018.0 - Lis Neris,22.9,Pinot Grigio,46.4695,14.8069,40.9467,Erbaceo/albero da frutta/legno,22
Molin Lugana - 2020.0 - Cà Maiol,12.39,Verdicchio,58.8656,23.5749,51.0621,albero da frutta/Erbaceo/agrume,3
Sauvignon - 2019.0 - Ronco dei Tassi,15.62,Sauvignon Blanc,60.0,12.9961,49.9235,agrume/Erbaceo/albero da frutta,14
Pinot Grigio - 2020.0 - Danzante,8.11,Pinot Grigio,40.8271,12.3487,41.7371,agrume/albero da frutta/Erbaceo,8
Follia Bianco - 2016.0 - Piana dei Castelli,19.8,Sauvignon Blanc,60.1787,34.4301,55.1017,agrume/albero da frutta/legno,4
Sirmian Pinot Bianco - 2020.0 - Nals Margreid,20.8,Weissburgunder,42.764,7.12547,57.7353,albero da frutta/agrume/Erbaceo,0
Gewürztraminer - 2020.0 - Colterenzio (Schreckbichl),10.37,Gewürztraminer,62.053,36.655,31.7357,nota tropicale/albero da frutta/Erbaceo,5
Taerra Vermentino di Gallura Superiore - 2019.0 - Tani,16.0,Vermentino,63.3213,9.34526,39.4039,albero da frutta/agrume/Erbaceo,2
Cavallina - 2018.0 - Claudio Mariotto,24.0,Timorasso,67.1413,23.3052,48.4699,Erbaceo/agrume/albero da frutta,20
Gewürztraminer - 2020.0 - Erste+Neue,12.5,Gewürztraminer,62.756,38.205,30.8123,albero da frutta/nota tropicale/Erbaceo,5
Lenz - 2020.0 - Ritterhof,9.99,Müller-Thurgau,52.6527,31.9842,47.987,albero da frutta/agrume/legno,4
Alta Mora Etna Bianco - 2019.0 - Cusumano,19.5,Carricante,60.8058,5.27225,39.6807,Erbaceo/agrume/albero da frutta,15
Grancasale Verdicchio dei Castelli di Jesi Classico Superiore - 2019.0 - Casal Farneto,10.5,Verdicchio,51.39,18.8085,64.938,albero da frutta/Erbaceo/agrume,3
Vermentino Bianco Toscana - 2018.0 - Belguardo,10.8,Vermentino,42.2367,20.9233,64.5553,agrume/albero da frutta/Erbaceo,2
Pinot Grigio - 2020.0 - La Tunella,13.48,Pinot Grigio,41.1481,12.111,41.9916,agrume/albero da frutta/Erbaceo,8
Müller Thurgau - 2020.0 - Erste+Neue,9.4,Müller-Thurgau,30.6324,12.969,36.0144,albero da frutta/agrume/Erbaceo,13
Bolgheri Bianco - 2018.0 - Donna Olimpia,20.35,Miscela,50.8721,19.9793,60.4365,lieviti/legno/albero da frutta,6
