Name,R,G,B,Clusters
Aristos Sauvignon 2018'.png,152.75594276092988,129.20998224671004,95.85515834901021,7
Aristos Sylvaner 2019'.png,154.79945704306087,131.9929562358074,98.27731046414587,7
Armonia - Αρμονία 2019'.png,185.1323715615397,187.45595749402042,188.58769047846152,4
Arneis Langhe 2019'.png,174.9324206048042,164.75483043054498,127.25712354941528,2
Arneis Langhe Blange 2021'.png,209.90167364369728,205.18585774968128,186.88371684565578,4
Arneis Roero 2021'.png,141.89315228955437,135.04195426520124,101.32843125397805,7
Artemisia Offida Pecorino 2020'.png,166.4489321442231,151.08834913065894,136.02091472647834,2
Asso di Fiori 2016'.png,148.95492897565268,149.89413587096706,118.48191662413777,0
Athesis Pinot Bianco 2019'.png,114.02773346866104,95.79569927715963,73.7666862479263,5
Auratus Gewürztraminer 2020'.png,148.72292991137218,137.57642504176624,106.44934218017923,7
Aurente Chardonnay 2017'.png,157.7678949007602,144.2016304908529,120.35021075322825,0
Azisa Sicilia 2020'.png,185.03114735145562,160.1848442073266,125.87935400495938,2
Baci Sulla Bocca Vermentino Toscana 2020'.png,146.51348060844094,129.9404841139385,105.36053880488132,7
Badde Nigolosu Bianco 2019'.png,144.8634245236039,133.99041522642216,119.83932053002486,0
Bajola Bianco 2018'.png,116.6002219753714,108.77757482272587,119.79069982559533,1
Balbino Vermentino di Maremma Toscana 2020'.png,148.811375226578,132.1640995367093,106.65012892631682,7
Balciana 2018'.png,142.96194637118026,103.73565739018203,89.01017370852642,5
Barolo Riserva Monfortino 2015'.png,150.103969238084,129.6936646113302,94.90350830885055,7
Barthenau Vigna S. Michele 2019'.png,168.28952642955042,147.0312358436992,118.15962948154367,3
Basaricò Langhe Sauvignon 2018'.png,108.86687319121171,126.6179834205639,72.08127221353386,5
Belato Offida Pecorino 2020'.png,168.96457486424518,164.90386127852474,160.44085426267037,4
Beleda 2017'.png,152.09685790070395,143.7605080171138,131.45264095007374,6
Bellis Perennis Bianco 2019'.png,151.68342398268544,141.82860492370068,119.1655344601559,0
Belvento Vermentino (I Vini Del Mare) 2020'.png,168.53293563485087,166.66081354551687,132.38353966714726,2
Belvento Viognier (I Vini Del Mare) 2019'.png,169.8773028959893,163.91805700338418,131.4810207730736,2
Benede' Catarratto 2020'.png,146.8354681557565,146.61960788735033,145.66738326435743,6
Benedictus Lugana 2020'.png,157.24681486222138,137.83636220206205,108.28937267938215,0
Benefizio Riserva Pomino Bianco 2019'.png,108.72104130357835,105.0645576054177,91.02206221722665,5
Beneventano Falanghina 2019'.png,105.97153835888558,97.20022786763754,70.52037979862381,5
Benita 31 Caprettone 2020'.png,184.03931101805398,172.72396185822046,157.17385278728776,4
Berette Bianco 2018'.png,200.7195207248164,190.2806952898796,175.30378489924283,4
Berg 2018'.png,144.11535412341618,129.73117000392864,101.97183386583173,7
Bertolino Soprano Bianco 2017'.png,137.82475340301687,134.29789162447457,104.08164080089836,7
Beyond the Clouds 2019'.png,150.09786350062075,137.8099145526896,109.3355511491941,7
Bèru 2016'.png,162.08984436743353,155.3717868754258,128.33783541886623,2
Béchar Fiano di Avellino 2020'.png,170.9693921667011,133.43548600585916,101.66888404753479,3
Bianco 2015'.png,152.11182687094305,133.6455530807805,98.71371555055191,7
Bianco 2017'.png,127.69025950142596,122.9703039443829,125.04663161817429,1
Bianco 2019'.png,137.11442718303672,133.7548144692399,95.18978142736213,7
Bianco 2020'.png,181.2781864331559,195.89050929911366,186.36885629742315,4
Bianco Fiordaliso 2020'.png,129.36178179135945,130.52456759207456,88.15545538266755,7
Bianco Fumo Sauvignon 2016'.png,129.6057619988675,130.90520703297656,129.2553019062125,6
Bianco Passivento 2020'.png,179.8999722067794,159.9650206862027,152.1473357134652,2
Bianco Pomice 2020'.png,147.2295296907365,146.1480586964081,140.5491687129843,6
Bianco Porticello 2020'.png,153.75047265988243,150.50727296608054,127.4347199280371,0
Bianco Testalonga 2018'.png,192.94922627875093,147.54056936261003,98.01146391531722,3
Bianco d'Italia 2019'.png,155.8787110192396,148.23143007724474,140.83621414851464,2
Bianco della Castellada 2015'.png,134.10007968882428,116.97864728901864,104.64288477165246,1
Bianco di Ampeleia 2020'.png,164.7971420844903,171.85510312640773,104.59565469173256,3
Bianco di Custoza Superiore Cà del Magro 2020'.png,123.8614064186258,117.87544273511766,104.80166029219194,1
Bianco di Morgante 2019'.png,146.33131893740583,128.5929129264205,89.80726639887897,7
Bianco di Sei Etna Bianco 2019'.png,119.23150500481945,114.31529472097273,108.88827416209699,1
Biancolella 2019'.png,101.36839261036037,139.75918063379083,115.01900464084807,1
Biancolella Ischia 2021'.png,155.1920597093337,145.36503040102892,117.5974266806241,0
Biancosesto 2019'.png,125.52044037678067,120.12531485844801,101.22548694053887,1
Bidis Terre Siciliane 2016'.png,126.74608586115983,103.34606735891897,78.7248525539334,5
Bine Longhe di Costalta 2018'.png,165.5168849866571,155.75081908952782,135.59319203223367,2
Binel Langhe Bianco 2017'.png,159.81920149141757,139.9807213947861,112.29036461002327,0
Blanc de Morgex et de la Salle 2020'.png,175.4076130293706,159.99878198355285,117.8441016065911,3
Blanc des Rosis 2019'.png,160.52665537727424,150.94813209403145,143.16366384550687,2
Blancfumat Sauvignon (Collezione Privata i Poderi) 2020'.png,134.9343631286752,119.3479506876148,104.89264352978557,1
Blasi Chardonnay 2020'.png,150.298872211811,147.08550657715833,116.16141488592672,0
Blu Vermentino di Sardegna 2020'.png,130.6064169349206,131.7636316229706,119.93746697315123,1
Boboli Vermentino Colli di Luni 2019'.png,152.3461015112277,126.58556596946993,76.1267074721558,7
Boggina B Bianco 2017'.png,106.6162258187896,91.29031475806977,74.61456515542615,5
Bolgheri Bianco 2019'.png,158.9936980384325,157.39314341363635,136.32535198423474,2
Bolgheri Costa di Giulia 2018'.png,135.16557747197817,128.79074074622284,101.59558427952486,7
Bolgheri Vermentino 2019'.png,145.43904478520028,140.0203303573657,115.21933892794267,0
