company;name;avg_review;num_review;price;food_advice;country;region;wine_type;year;legg_strutt;secco_dolce;piatto_acid;notes
Mastrojanni;Vigna Schiena d'Asino Brunello di Montalcino ;4.5;108;139.9;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Brunello di Montalcino;Sangiovese;2012;50.1862;58.5345;4.95764;legno/Erbaceo/bacche nere
Vietti;Barolo Rocche di Castiglione ;4.4;99;495.0;Manzo / Pasta / Agnello;Italia;Barolo;Nebbiolo;2009;61.4127;76.437;12.8427;Erbaceo/frutti rossi/legno
Aldo Conterno;Barolo Bussia ;4.3;70;73.0;Manzo / Pasta / Agnello;Italia;Barolo;Nebbiolo;2017;61.146;78.154;6.57193;Erbaceo/frutti rossi/legno
Quintarelli Giuseppe;Amarone della Valpolicella Classico ;4.7;475;299.0;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Amarone della Valpolicella Classico;Corvina;2011;82.7095;25.6376;50.3312;legno/bacche nere/Erbaceo
Tenuta Sette Ponti;Oreno Toscana ;4.3;143;85.0;Manzo / Agnello / Vitello;Italia;Toscana;Cabernet Sauvignon;2019;54.7037;45.784;10.5089;legno/bacche nere/Erbaceo
Cavallotto;Barolo Riserva Vignolo ;4.3;126;135.0;Manzo / Pasta / Agnello;Italia;Barolo;Nebbiolo;2016;64.8828;76.6525;5.31026;Erbaceo/frutti rossi/legno
Tenuta Sant'Antonio;Lilium Est Amarone Della Valpolicella Riserva ;4.5;145;109.0;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Amarone della Valpolicella;Miscela;2008;85.0;27.0013;55.2325;legno/bacche nere/Erbaceo
Brunilde di Menzione;Primitivo di Manduria Riserva ;4.4;180;11.99;na / na / na;Italia;Primitivo di Manduria;Primitivo;2019;68.8623;20.7118;44.3082;bacche nere/legno/spezie
Brovia;Garblèt Sué Barolo ;4.4;65;117.0;Manzo / Pasta / Agnello;Italia;Barolo;Nebbiolo;2015;65.4882;72.7554;2.74647;Erbaceo/legno/frutti rossi
Tenuta Sant'Antonio;Antonio Castagnedi Amarone della Valpolicella ;4.3;250;26.19;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Amarone della Valpolicella;Riesling;2017;85.0;25.0604;48.049;legno/bacche nere/Erbaceo
Bertani;Amarone della Valpolicella Classico ;4.4;340;195.0;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Amarone della Valpolicella Classico;Rondinella;1999;83.4356;25.7344;45.395;legno/frutta secca/Erbaceo
Tenuta Campo al Mare;Bolgheri Superiore Baia Al Vento ;4.3;157;32.99;Manzo / Pasta / Agnello;Italia;Bolgheri Superiore;Miscela;2017;65.0217;70.443;14.6681;bacche nere/legno/Erbaceo
Terrecarsiche 1939;Fanova Riserva ;4.5;140;17.49;Manzo / Pasta / Agnello;Italia;Gioia del Colle;Primitivo;2018;81.8396;42.4023;27.099;legno/Erbaceo/bacche nere
Talenti;Brunello di Montalcino ;4.3;463;59.0;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Brunello di Montalcino;Sangiovese;2016;48.2454;56.9271;5.29707;Erbaceo/legno/frutti rossi
Giacomo Fenocchio;Barolo Cannubi ;4.3;36;58.6;Manzo / Pasta / Agnello;Italia;Barolo;Nebbiolo;2017;59.4834;75.228;5.74627;Erbaceo/frutti rossi/legno
Antinori;Tenuta Tignanello 'Solaia' ;4.8;106;365.0;Manzo / Agnello / Vitello;Italia;Toscana;Cabernet Sauvignon;2018;53.8514;41.8679;14.8718;legno/bacche nere/Erbaceo
Riecine;Rosso Toscana ;4.3;34;77.9;Manzo / Agnello / Vitello;Italia;Toscana;Sangiovese;2016;43.4741;42.753;7.65734;frutti rossi/legno/spezie
Tenuta Cucco;Barolo del Comune di Serralunga d'Alba ;4.3;509;34.0;Manzo / Pasta / Agnello;Italia;Barolo;Nebbiolo;2016;62.4598;78.6622;1.27031;frutti rossi/Erbaceo/legno
Tenuta CastelGiocondo;Ripe al Convento Brunello di Montalcino Riserva ;4.3;195;99.0;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Brunello di Montalcino;Sangiovese;2013;51.5924;58.4552;12.1838;legno/Erbaceo/bacche nere
Maculan;Fratta ;4.3;49;53.8;Manzo / Pasta / Agnello;Italia;Breganze;Miscela;2016;65.343;40.9759;19.1879;bacche nere/legno/Erbaceo
Masseto;Toscana ;4.8;734;1700.02;Manzo / Agnello / Vitello;Italia;Toscana;Merlot;2005;57.6969;45.9309;17.0264;legno/bacche nere/Erbaceo
Il Marroneto;Madonna delle Grazie Brunello di Montalcino ;4.7;134;369.0;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Brunello di Montalcino;Sangiovese;2015;53.2167;58.9154;12.916;Erbaceo/frutti rossi/legno
Domenico Clerico;Barolo Pajana ;4.3;51;95.0;Manzo / Pasta / Agnello;Italia;Barolo;Nebbiolo;2017;65.2844;81.3144;10.6257;legno/Erbaceo/frutti rossi
Borgogno;Barolo Riserva ;4.3;869;187.0;Manzo / Pasta / Agnello;Italia;Barolo;Nebbiolo;2006;61.4836;74.4833;6.78666;Erbaceo/legno/frutti rossi
Cantine Leonardo da Vinci;Leonardo da Vinci Brunello di Montalcino ;4.3;224;29.8;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Brunello di Montalcino;Sangiovese;2016;47.9941;53.6386;4.28691;legno/bacche nere/Erbaceo
Castiglion del Bosco;Brunello di Montalcino ;4.3;771;50.0;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Brunello di Montalcino;Sangiovese;2016;48.0744;55.8383;5.69278;Erbaceo/frutti rossi/legno
Ritterhof;Manus Lagrein ;4.5;37;32.8;Manzo / Pasta / Agnello;Italia;Südtirol - Alto Adige;Lagrein;2018;63.404;48.9721;14.01;bacche nere/frutti rossi/Erbaceo
Tenuta di Carleone;Uno ;4.3;86;61.39;Manzo / Agnello / Vitello;Italia;Toscana;Sangiovese;2018;49.1065;44.5542;9.27935;legno/bacche nere/Erbaceo
Giulia Negri;Serradenari Barolo ;4.3;87;63.9;Manzo / Pasta / Agnello;Italia;Barolo;Nebbiolo;2017;51.9225;77.1866;11.9589;Erbaceo/frutti rossi/legno
Marchesi di Barolo;Cannubi Barolo ;4.4;94;49.5;Manzo / Pasta / Agnello;Italia;Barolo;Nebbiolo;2016;63.5333;73.2126;4.74628;legno/Erbaceo/frutti rossi
Mauro Molino;Barolo Conca ;4.3;203;75.8;Manzo / Pasta / Agnello;Italia;Barolo;Nebbiolo;2016;65.1319;76.0255;9.94424;legno/Erbaceo/frutti rossi
Elio Altare;Arborina Barolo ;4.4;127;87.0;Manzo / Pasta / Agnello;Italia;Barolo;Nebbiolo;2014;61.8528;75.408;10.538;Erbaceo/frutti rossi/legno
Elio Grasso;Barolo Ginestra Casa Maté ;4.3;199;108.0;Manzo / Pasta / Agnello;Italia;Barolo;Nebbiolo;2015;64.7107;74.3502;11.7117;Erbaceo/legno/frutti rossi
Biondi-Santi;Brunello di Montalcino ;4.4;154;336.0;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Brunello di Montalcino;Sangiovese;1985;46.5723;57.482;7.77796;Erbaceo/legno/frutti rossi
Castello Romitorio;Brunello di Montalcino ;4.3;657;51.0;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Brunello di Montalcino;Sangiovese;2016;48.7794;56.4964;7.8743;legno/Erbaceo/frutti rossi
La Spinetta;Vürsù Barolo Campè ;4.4;276;130.0;Manzo / Pasta / Agnello;Italia;Barolo;Nebbiolo;2000;64.8527;76.9342;10.022;Erbaceo/legno/frutti rossi
Tenuta Sant'Antonio;Campo dei Gigli Amarone della Valpolicella ;4.3;559;72.0;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Amarone della Valpolicella;Miscela;2012;85.0;27.0823;48.2728;legno/bacche nere/Erbaceo
Giuseppe Rinaldi;Tre Tine Barolo ;4.3;112;342.0;Manzo / Pasta / Agnello;Italia;Barolo;Nebbiolo;2014;57.7279;78.5327;6.9824;frutti rossi/Erbaceo/spezie
Mazzei;Siepi ;4.4;367;106.0;Manzo / Agnello / Vitello;Italia;Toscana;Miscela;2017;54.6542;41.59;13.0313;legno/bacche nere/Erbaceo
Sesti;Brunello di Montalcino ;4.4;236;66.0;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Brunello di Montalcino;Sangiovese;2009;46.4993;53.4956;7.81726;frutti rossi/Erbaceo/legno
Le Macioche;Brunello di Montalcino ;4.3;95;59.9;Manzo / Agnello / Cacciagione (cervo, camoscio);Italia;Brunello di Montalcino;Sangiovese;2016;46.6218;55.1403;6.51248;Erbaceo/frutti rossi/legno
De Stefani;Solèr ;4.4;142;19.95;Manzo / Pasta / Agnello;Italia;Veneto;Miscela;2019;62.1311;37.9289;28.5682;legno/bacche nere/frutti rossi
Gaja;Barbaresco ;4.4;803;244.0;Manzo / Pasta / Agnello;Italia;Barbaresco;Nebbiolo;2015;60.1312;67.7589;7.52422;Erbaceo/legno/frutti rossi
Roagna;Pajè Barbaresco ;4.4;153;154.9;Manzo / Pasta / Agnello;Italia;Barbaresco;Nebbiolo;2015;58.4658;70.9905;6.8159;Erbaceo/frutti rossi/legno
