idname,price,wine_type,legg_strutt,secco_dolce,piatto_acid,notes,Clusters
Ronchedone Rosso  - 2019 - Cà dei Frati,14.5,Marzemino,65.7215,40.508,24.3253,legno/bacche nere/frutti rossi,15
Duca Enrico Rosso  - 2017 - Duca di Salaparuta,55.3,Nero d'Avola,82.0256,40.8838,28.8272,Erbaceo/bacche nere/legno,2
Cabernet Istrice  - 2018 - Elena Walch,21.9,Miscela,60.75,39.4876,15.4707,legno/bacche nere/Erbaceo,4
La Ricolma  - 2004 - San Giusto a Rentennano,495.0,Merlot,51.4153,44.3468,11.6476,bacche nere/legno/Erbaceo,5
Barolo Le Vigne  - 2013 - Sandrone,230.0,Nebbiolo,61.9831,75.957,9.53,Erbaceo/legno/frutti rossi,1
Barolo Vignarionda  - 2015 - Arnaldo Rivera,53.0,Nebbiolo,61.1074,76.9635,3.25846,legno/spezie/frutti rossi,9
50 & 50  - 2011 - Capannelle,120.0,Merlot,52.6991,45.5533,11.9574,legno/bacche nere/Erbaceo,5
Brunello di Montalcino Riserva  - 2006 - Biondi-Santi,540.0,Sangiovese,45.9973,56.7399,10.0994,Erbaceo/legno/frutti rossi,3
Viti Vecchie Albesani Barbaresco Riserva  - 2013 - Piero Busso,125.0,Nebbiolo,62.1358,59.8357,13.0938,frutti rossi/Erbaceo/legno,1
Baffonero Maremma Toscana  - 2016 - Rocca di Frassinello,185.0,Merlot,58.2355,47.3224,16.8119,bacche nere/legno/Erbaceo,5
d'Alceo  - 2012 - Castello dei Rampolla,109.8,Cabernet Sauvignon,52.3442,45.1392,17.679,legno/bacche nere/Erbaceo,12
Vigna Cappella di S. Stefano Perno Barolo  - 2010 - Rocche dei Manzoni,112.0,Nebbiolo,62.02,76.1137,6.62861,legno/Erbaceo/frutti rossi,1
Mon Birone Barbera d'Alba  - 2017 - Monchiero Carbone,29.1,Barbera,57.6792,22.6032,13.9518,legno/bacche nere/Erbaceo,2
Cannubi Barolo  - 2015 - Marchesi di Barolo,53.0,Nebbiolo,63.5333,73.2126,4.74628,legno/Erbaceo/frutti rossi,1
Toscana  - 2008 - Masseto,1350.0,Merlot,57.6969,45.9309,17.0264,legno/bacche nere/Erbaceo,5
Vigna Schiena d'Asino Brunello di Montalcino  - 2012 - Mastrojanni,139.9,Sangiovese,50.1862,58.5345,4.95764,legno/Erbaceo/bacche nere,7
Barolo Rocche di Castiglione  - 2009 - Vietti,495.0,Nebbiolo,61.4127,76.437,12.8427,Erbaceo/frutti rossi/legno,1
Barolo Bussia  - 2017 - Aldo Conterno,73.0,Nebbiolo,61.146,78.154,6.57193,Erbaceo/frutti rossi/legno,1
Amarone della Valpolicella Classico  - 2011 - Quintarelli Giuseppe,299.0,Corvina,82.7095,25.6376,50.3312,legno/bacche nere/Erbaceo,14
Oreno Toscana  - 2019 - Tenuta Sette Ponti,85.0,Cabernet Sauvignon,54.7037,45.784,10.5089,legno/bacche nere/Erbaceo,12
Barolo Riserva Vignolo  - 2016 - Cavallotto,135.0,Nebbiolo,64.8828,76.6525,5.31026,Erbaceo/frutti rossi/legno,1
