,Name,R,G,B,Clusters
63,Antonio Castagnedi Amarone della Valpolicella 2017'.png,144.4790365416381,140.54512442628524,124.91219315983528,0
64,Appassimento 2020'.png,112.93040153364895,103.41297836581339,89.72775972987252,1
65,Appassite Negroamaro - Primitivo 2020'.png,171.73599787006472,95.94112572167936,50.903613482862376,7
66,Appassito Primitivo 2021'.png,110.37689867429768,77.17721625689376,72.62637015185506,4
67,Aragone Maremma Toscana 2015'.png,140.24444351562693,104.1051104209012,95.85074930188226,7
68,Arborina Barolo 2015'.png,133.88321976794953,146.16695771465947,139.02938283448785,0
69,Arborina Langhe Rosso 2005'.png,178.80878309765174,172.4511236307081,168.68270442396943,6
70,Arcanum Il Fauno di Arcanum 2019'.png,114.3895820019823,113.90462126313419,109.09907352098485,3
71,Archimede Riserva 2015'.png,128.513704941238,117.8936753994335,112.41942010284595,3
72,Arcurìa Sopra il Pozzo Etna Rosso 2015'.png,104.16618211269413,101.15435359900492,102.2939531229899,1
73,Arnione Bolgheri Superiore 2016'.png,162.6078798233504,148.7949444163711,142.25870912735235,2
74,Asili Barbaresco Riserva 2013'.png,120.62339746526897,116.90087793102401,109.39306821501066,3
75,Asili Barbaresco Vecchie Viti 2011'.png,146.04301034135534,142.76365388138964,138.94352934853097,0
76,Asinone Vino Nobile di Montepulciano 2017'.png,142.3059518633812,140.10695856865007,133.87692903750838,0
77,Astuto Bolgheri Superiore 2018'.png,114.08607919520881,102.07147327912202,102.48290110999162,1
78,Badde Nigolosu 2016'.png,145.917925504739,130.08397350916994,112.10753034767887,7
79,Badia a Passignano Gran Selezione Chianti Classico 2016'.png,150.51052011958058,126.06232711425058,96.32628908171418,7
80,Baffonero Maremma Toscana 2015'.png,134.6228327090697,122.30258075708181,120.596483410685,3
81,Barbaresco 2001'.png,132.09735166709558,131.85137736969497,129.2645404918589,0
82,Barbaresco 2017'.png,156.21062703926387,158.34923428927593,147.48505008983113,2
83,Barbaresco Albesani 2015'.png,152.15972620401567,152.15882497205882,151.34781246371796,2
84,Barbaresco Albesani Santo Stefano 2011'.png,133.74243844284226,132.5268521238792,130.03396736746407,0
85,Barbaresco Angelo 2015'.png,161.89848970185588,159.71910827570727,156.3306566017951,6
